t,x,y
3.240000000E1,2.322206096E1,6.316400581E1
3.280000000E1,2.043541364E1,1.054281567E2
3.320000000E1,1.997097242E1,1.267924528E2
3.360000000E1,1.997097242E1,1.439767779E2
3.400000000E1,1.904208999E1,1.625544267E2
3.440000000E1,1.997097242E1,1.885631350E2
3.480000000E1,2.182873730E1,2.001741655E2
3.520000000E1,2.275761974E1,2.103918723E2
3.560000000E1,2.693759071E1,2.145718433E2
3.600000000E1,3.251088534E1,2.155007257E2
3.640000000E1,3.251088534E1,2.155007257E2
3.680000000E1,2.879535559E1,2.127140784E2
3.720000000E1,1.253991292E1,2.210740203E2
3.760000000E1,1.811320755E1,2.089985486E2
3.800000000E1,1.671988389E1,2.015674891E2
3.840000000E1,2.647314949E1,2.103918723E2
3.880000000E1,2.554426705E1,2.229317852E2
3.920000000E1,1.114658926E1,2.094629898E2
3.960000000E1,1.068214804E1,1.992452830E2
4.000000000E1,1.253991292E1,1.922786647E2
4.040000000E1,1.486211901E1,1.880986938E2
4.080000000E1,1.532656023E1,1.880986938E2
4.120000000E1,3.436865022E1,1.918142235E2
4.160000000E1,7.384615385E1,1.922786647E2
4.200000000E1,7.477503628E1,1.792743106E2
4.240000000E1,9.149492017E1,1.713788099E2
4.280000000E1,1.151814224E2,1.769521045E2
4.320000000E1,1.360812772E2,1.983164006E2
4.360000000E1,1.500145138E2,2.057474601E2
4.400000000E1,1.593033382E2,2.062119013E2
4.440000000E1,1.774165457E2,2.057474601E2
4.480000000E1,1.932075472E2,2.034252540E2
4.520000000E1,1.616255443E2,2.210740203E2
4.560000000E1,1.472278665E2,2.168940493E2
4.600000000E1,1.346879536E2,2.094629898E2
4.640000000E1,1.792743106E2,1.950653120E2
4.680000000E1,1.885631350E2,1.927431060E2
4.720000000E1,1.444412192E2,1.593033382E2
4.760000000E1,1.281857765E2,1.593033382E2
4.800000000E1,1.142525399E2,1.815965167E2
4.840000000E1,1.031059507E2,1.876342525E2
4.880000000E1,8.406386067E1,1.946008708E2
4.920000000E1,6.177068215E1,2.001741655E2
4.960000000E1,4.458635704E1,2.006386067E2
5.000000000E1,8.731494920E1,2.029608128E2
5.040000000E1,1.240058055E2,2.011030479E2
5.080000000E1,1.797387518E2,1.699854862E2
5.120000000E1,2.168940493E2,1.583744557E2
5.160000000E1,2.182873730E2,1.346879536E2
5.200000000E1,2.164296081E2,1.128592163E2
5.240000000E1,2.127140784E2,9.010159652E1
5.280000000E1,2.117851959E2,6.873730044E1
5.320000000E1,2.076052250E2,3.622641509E1
5.360000000E1,2.080696662E2,2.554426705E1
5.400000000E1,2.210740203E2,1.332946299E2
5.440000000E1,2.229317852E2,1.792743106E2
5.480000000E1,2.085341074E2,2.024963716E2
5.520000000E1,1.723076923E2,2.136429608E2
5.560000000E1,1.407256894E2,2.150362845E2
5.600000000E1,1.068214804E2,2.108563135E2
5.640000000E1,4.969521045E1,2.103918723E2
5.680000000E1,3.390420900E1,2.094629898E2
5.720000000E1,1.625544267E1,2.085341074E2
5.760000000E1,1.486211901E1,2.048185776E2
5.800000000E1,2.415094340E1,1.983164006E2
5.840000000E1,3.529753266E1,1.973875181E2
5.880000000E1,4.179970972E1,2.057474601E2
5.920000000E1,2.368650218E1,2.145718433E2
5.960000000E1,9.288824383E0,2.173584906E2
6.000000000E1,2.461538462E1,1.983164006E2
6.040000000E1,3.483309144E1,2.024963716E2
6.080000000E1,4.690856313E1,2.052830189E2
6.120000000E1,4.226415094E1,2.141074020E2
6.160000000E1,4.783744557E1,2.131785196E2
6.200000000E1,9.428156749E1,2.127140784E2
6.240000000E1,1.188969521E2,2.117851959E2
6.280000000E1,2.048185776E2,2.108563135E2
6.320000000E1,2.182873730E2,2.108563135E2
6.360000000E1,2.224673440E2,2.141074020E2
6.400000000E1,2.108563135E2,2.187518142E2
6.440000000E1,2.048185776E2,2.117851959E2
6.480000000E1,2.141074020E2,2.024963716E2
6.520000000E1,2.155007257E2,1.834542816E2
6.560000000E1,1.955297533E2,1.746298984E2
6.600000000E1,1.885631350E2,1.681277213E2
6.640000000E1,1.713788099E2,1.286502177E2
6.680000000E1,1.671988389E2,9.706821480E1
6.720000000E1,1.950653120E2,9.613933237E1
6.760000000E1,2.164296081E2,1.133236575E2
6.800000000E1,2.164296081E2,1.170391872E2
6.840000000E1,2.113207547E2,1.240058055E2
6.880000000E1,1.820609579E2,9.056603774E1
6.920000000E1,1.783454282E2,1.003193033E2
6.960000000E1,1.806676343E2,1.049637155E2
7.000000000E1,1.648766328E2,1.323657475E2
7.040000000E1,1.746298984E2,1.337590711E2
7.080000000E1,1.597677794E2,1.407256894E2
7.120000000E1,1.458345428E2,1.453701016E2
7.160000000E1,1.388679245E2,1.476923077E2
7.200000000E1,6.502177068E1,1.541944848E2
7.240000000E1,5.155297533E1,1.411901306E2
7.280000000E1,4.830188679E1,1.356168360E2
7.320000000E1,1.114658926E1,1.411901306E2
7.360000000E1,9.753265602E0,1.504789550E2
7.400000000E1,1.207547170E1,1.272568940E2
7.440000000E1,2.507982583E1,1.430478955E2
7.480000000E1,2.554426705E1,1.026415094E2
7.520000000E1,3.715529753E1,8.081277213E1
7.560000000E1,5.805515239E1,5.201741655E1
7.600000000E1,9.288824383E1,2.740203193E1
7.640000000E1,9.939042090E1,2.182873730E1
7.680000000E1,9.288824383E1,7.895500726E0
7.720000000E1,7.152394775E1,8.359941945E0
7.760000000E1,6.130624093E1,9.288824383E0
7.800000000E1,4.133526851E1,1.114658926E1
7.840000000E1,1.332946299E2,2.554426705E1
7.880000000E1,1.574455733E2,2.879535559E1
7.920000000E1,1.899564586E2,2.786647315E1
7.960000000E1,2.015674891E2,3.111756168E1
8.000000000E1,2.038896952E2,4.644412192E1
8.040000000E1,2.038896952E2,6.502177068E1
8.080000000E1,2.215384615E2,3.390420900E1
8.120000000E1,2.238606676E2,2.043541364E1
8.160000000E1,2.173584906E2,1.253991292E1
8.200000000E1,2.011030479E2,1.068214804E1
8.240000000E1,2.303628447E2,3.111756168E1
8.280000000E1,2.257184325E2,3.483309144E1
8.320000000E1,2.187518142E2,6.687953556E1
8.360000000E1,2.187518142E2,8.731494920E1
8.400000000E1,2.187518142E2,1.110014514E2
8.440000000E1,2.122496372E2,1.402612482E2
8.480000000E1,1.709143687E2,1.616255443E2
8.520000000E1,1.588388970E2,1.848476052E2
8.560000000E1,1.407256894E2,1.992452830E2
8.600000000E1,1.579100145E2,2.011030479E2
8.640000000E1,1.588388970E2,2.052830189E2
8.680000000E1,9.567489115E1,1.973875181E2
8.720000000E1,4.923076923E1,2.001741655E2
8.760000000E1,2.786647315E1,2.001741655E2
8.800000000E1,1.857764877E1,1.932075472E2
8.840000000E1,2.415094340E1,1.946008708E2
8.880000000E1,3.436865022E1,2.034252540E2
8.920000000E1,3.715529753E1,2.089985486E2
8.960000000E1,1.950653120E1,2.150362845E2
9.000000000E1,2.833091437E1,2.029608128E2
9.040000000E1,3.204644412E1,2.001741655E2
9.080000000E1,2.507982583E1,1.755587808E2
9.120000000E1,1.904208999E1,1.253991292E2
9.160000000E1,1.811320755E1,1.165747460E2
9.200000000E1,1.393323657E1,6.966618287E1
9.240000000E1,1.393323657E1,6.037735849E1
9.280000000E1,1.439767779E1,5.387518142E1
9.320000000E1,1.439767779E1,3.065312046E1
9.360000000E1,1.346879536E1,1.997097242E1
9.400000000E1,1.346879536E1,1.532656023E1
9.440000000E1,3.111756168E1,1.300435414E1
9.480000000E1,3.761973875E1,1.811320755E1
9.520000000E1,3.669085631E1,3.343976778E1
9.560000000E1,1.904208999E1,3.436865022E1
9.600000000E1,1.393323657E1,1.486211901E1
9.680000000E1,2.879535559E1,1.161103048E1
9.720000000E1,2.554426705E1,1.904208999E1
9.760000000E1,2.415094340E1,3.018867925E1
9.800000000E1,2.693759071E1,9.939042090E1
9.840000000E1,2.647314949E1,1.486211901E2
9.880000000E1,6.037735849E1,1.402612482E2
9.920000000E1,9.613933237E1,1.198258345E2
9.960000000E1,1.105370102E2,1.040348331E2
1.000000000E2,1.411901306E2,9.660377358E1
1.004000000E2,1.825253991E2,1.114658926E2
1.008000000E2,2.155007257E2,1.202902758E2
1.012000000E2,2.303628447E2,1.323657475E2
1.016000000E2,2.261828737E2,1.449056604E2
1.020000000E2,2.220029028E2,1.332946299E2
1.024000000E2,2.187518142E2,1.031059507E2
1.028000000E2,2.289695210E2,1.202902758E2
1.032000000E2,2.168940493E2,1.597677794E2
1.036000000E2,2.085341074E2,1.973875181E2
1.040000000E2,2.122496372E2,2.117851959E2
1.044000000E2,2.168940493E2,2.168940493E2
1.048000000E2,2.168940493E2,2.085341074E2
1.052000000E2,2.085341074E2,2.052830189E2
1.056000000E2,1.927431060E2,2.057474601E2
1.060000000E2,2.113207547E2,2.122496372E2
1.064000000E2,2.141074020E2,2.131785196E2
1.068000000E2,2.141074020E2,2.038896952E2
1.072000000E2,2.020319303E2,2.020319303E2
1.076000000E2,2.034252540E2,2.131785196E2
1.080000000E2,2.136429608E2,2.089985486E2
1.084000000E2,2.159651669E2,1.713788099E2
1.088000000E2,2.164296081E2,1.314368650E2
1.092000000E2,2.168940493E2,1.026415094E2
1.096000000E2,2.178229318E2,6.827285922E1
1.100000000E2,2.159651669E2,3.947750363E1
1.104000000E2,2.122496372E2,1.439767779E1
1.108000000E2,2.034252540E2,9.288824383E0
1.112000000E2,1.932075472E2,1.997097242E1
