t,x,y
196,3.8642E+11,3.93906E+11
197,3.96219E+11,3.84997E+11
198,3.99783E+11,3.7787E+11
199,4.01565E+11,3.7787E+11
200,3.99783E+11,3.85888E+11
201,3.89092E+11,3.66288E+11
202,3.79292E+11,3.67179E+11
203,4.02456E+11,3.84997E+11
204,4.14928E+11,3.91233E+11
205,4.19383E+11,3.66288E+11
206,4.27401E+11,3.85888E+11
207,4.11365E+11,4.14397E+11
208,4.08692E+11,4.13506E+11
209,4.07801E+11,3.99251E+11
210,4.15819E+11,3.99251E+11
211,3.57911E+11,4.06378E+11
212,3.42765E+11,4.03706E+11
213,3.80183E+11,4.02815E+11
214,3.52565E+11,3.96579E+11
215,3.12475E+11,3.92124E+11
216,3.02675E+11,3.85888E+11
217,2.88421E+11,3.72524E+11
218,2.45658E+11,3.1818E+11
219,3.67711E+11,2.93234E+11
220,3.70383E+11,2.73635E+11
221,3.81965E+11,1.75636E+11
222,3.81965E+11,1.71181E+11
223,3.98892E+11,23292049600
224,3.94438E+11,14383062420
225,4.07801E+11,20619353440
226,4.09583E+11,14383062420
227,4.12256E+11,18837556010
228,4.02456E+11,16164859850
229,3.84638E+11,20619353440
230,3.77511E+11,20619353440
231,3.13366E+11,74073276530
232,3.02675E+11,89218554740
233,3.2762E+11,1.07037E+11
234,3.2762E+11,1.06146E+11
235,3.99783E+11,90109453460
236,4.01565E+11,1.498E+11
237,4.04237E+11,3.21743E+11
238,3.91765E+11,3.33325E+11
239,3.85529E+11,3.6807E+11
240,3.8731E+11,3.84997E+11
241,3.73947E+11,3.93015E+11
242,3.67711E+11,3.89451E+11
243,3.80183E+11,3.9747E+11
244,3.8642E+11,3.90342E+11
245,3.73947E+11,3.94797E+11
246,3.79292E+11,3.88561E+11
247,4.09583E+11,3.93906E+11
248,4.09583E+11,3.93906E+11
249,4.01565E+11,3.94797E+11
250,3.55238E+11,4.06378E+11
251,3.13366E+11,3.80542E+11
252,3.06239E+11,3.75197E+11
253,2.65257E+11,3.74306E+11
254,2.37639E+11,3.9747E+11
255,2.11803E+11,4.06378E+11
256,1.53004E+11,4.11724E+11
257,25605521660,3.9747E+11
258,18478331920,3.93015E+11
259,9569344736,3.56488E+11
260,15805635760,3.49361E+11
261,18478331920,3.30652E+11
262,17587433200,3.1907E+11
263,14914737040,3.20852E+11
264,16696534480,3.21743E+11
265,4223952427,3.34216E+11
266,13132939610,3.51143E+11
267,13132939610,3.35997E+11
268,4223952427,3.53815E+11
269,15805635760,3.65397E+11
270,20260129350,3.90342E+11
271,21151028070,3.9747E+11
272,26496420380,3.8767E+11
273,9569344736,3.89451E+11
274,16696534480,3.9747E+11
275,26496420380,4.01924E+11
276,33623610130,3.85888E+11
277,8678446018,4.06378E+11
278,7787547299,4.09051E+11
279,13132939610,4.12615E+11
280,13132939610,4.12615E+11
281,12242040890,4.05488E+11
282,22041926790,3.78761E+11
283,21151028070,3.27979E+11
284,14914737040,3.41343E+11
285,11351142170,3.93015E+11
286,46987090900,4.05488E+11
287,70150457570,3.93906E+11
288,72823153720,3.93906E+11
289,79059444750,3.83215E+11
290,60350571670,3.39561E+11
291,53223381920,3.17289E+11
292,69259558850,3.22634E+11
293,68368660130,3.11052E+11
294,1.2895E+11,3.47579E+11
295,1.53895E+11,3.7787E+11
296,2.73275E+11,3.94797E+11
297,3.4722E+11,3.85888E+11
298,3.92656E+11,3.81433E+11
299,3.95328E+11,3.64506E+11
300,4.00674E+11,3.4847E+11
301,4.08692E+11,3.69852E+11
302,4.05128E+11,3.59161E+11
303,3.91765E+11,3.56488E+11
304,3.98892E+11,3.52925E+11
305,3.88201E+11,3.53815E+11
306,3.9711E+11,3.59161E+11
307,4.02456E+11,3.34216E+11
308,3.92656E+11,3.50252E+11
309,4.00674E+11,3.69852E+11
310,4.10474E+11,3.83215E+11
311,3.92656E+11,3.96579E+11
312,4.06019E+11,3.44906E+11
313,3.32966E+11,4.04597E+11
314,3.40984E+11,4.0816E+11
315,3.59693E+11,4.10833E+11
316,3.79292E+11,4.14397E+11
317,3.90874E+11,4.13506E+11
318,4.05128E+11,4.13506E+11
319,4.01565E+11,4.01924E+11
320,3.19602E+11,4.06378E+11
321,3.81074E+11,4.17069E+11
322,3.78401E+11,4.09942E+11
323,3.04457E+11,3.84997E+11
324,2.96439E+11,3.84106E+11
325,2.8753E+11,3.9836E+11
326,2.78621E+11,3.9747E+11
327,2.32294E+11,3.74306E+11
328,3.0802E+11,3.27089E+11
329,3.8731E+11,2.46908E+11
330,3.88201E+11,2.37108E+11
331,3.00893E+11,1.58709E+11
332,3.08911E+11,1.54254E+11
333,2.91093E+11,83873162430
334,2.88421E+11,68727884220
335,3.89092E+11,38437327810
336,3.96219E+11,28637441910
337,3.72165E+11,37546429090
338,3.7662E+11,39328226520
339,3.78401E+11,25073847030
340,4.13146E+11,17055758570
341,4.09583E+11,9037670108
342,4.09583E+11,65164289350
343,4.15819E+11,50909909860
344,4.30964E+11,64273390630
345,3.91765E+11,10819467540
346,3.8642E+11,16164859850
347,3.9711E+11,14383062420
348,4.00674E+11,16164859850
349,4.18492E+11,88327656020
350,4.09583E+11,88327656020
351,3.84638E+11,1.27527E+11
352,3.81074E+11,1.25745E+11
353,3.68602E+11,1.65836E+11
354,3.63256E+11,1.75636E+11
355,3.95328E+11,2.95016E+11
356,4.0691E+11,2.95907E+11
357,3.92656E+11,3.81433E+11
358,3.90874E+11,3.93015E+11
359,3.98892E+11,3.96579E+11
360,3.82856E+11,3.93906E+11
361,3.79292E+11,3.89451E+11
362,3.8731E+11,3.96579E+11
363,3.88201E+11,3.8767E+11
364,3.89983E+11,3.95688E+11
365,4.03347E+11,3.93015E+11
366,3.92656E+11,3.90342E+11
367,4.05128E+11,4.01033E+11
368,3.93547E+11,3.8767E+11
369,3.8642E+11,3.96579E+11
370,3.83747E+11,4.02815E+11
371,3.99783E+11,3.8767E+11
372,3.94438E+11,3.79652E+11
373,3.79292E+11,3.7787E+11
374,3.38311E+11,3.84997E+11
375,3.34747E+11,3.86779E+11
376,3.46329E+11,3.70743E+11
377,3.24947E+11,3.1818E+11
378,3.03566E+11,2.58489E+11
379,2.79512E+11,2.25526E+11
380,2.71494E+11,2.32653E+11
381,1.84185E+11,2.07708E+11
382,2.02894E+11,2.08599E+11
383,9569344736,1.08818E+11
384,15805635760,1.14164E+11
385,15805635760,78527770120
386,20260129350,71400580380
387,14914737040,88327656020
388,18478331920,1.008E+11
389,22041926790,91000352180
390,20260129350,1.05255E+11
391,25605521660,89218554740
392,19369230640,83873162430
393,25605521660,99909339360
394,30060015250,90109453460
395,14914737040,1.71181E+11
396,14023838330,1.87217E+11
397,18478331920,2.46908E+11
398,22041926790,2.56708E+11
399,23823724230,3.61834E+11
400,19369230640,3.82324E+11
401,9569344736,4.11724E+11
402,14914737040,4.01033E+11
403,14914737040,4.03706E+11
404,66586862700,4.04597E+11
405,1.28059E+11,3.43125E+11
406,1.25386E+11,3.61834E+11
407,1.36077E+11,3.33325E+11
408,1.42313E+11,3.27089E+11
409,90641128090,3.09271E+11
410,36296306280,3.19961E+11
411,37187205000,2.55817E+11
412,33623610130,2.54035E+11
413,23823724230,1.93454E+11
414,22041926790,81200466280
415,17587433200,41110023960
416,15805635760,25964745750
417,31841812690,36655530370
418,32732711410,19728454730
419,17587433200,23292049600
420,31841812690,20619353440
421,22041926790,25964745750
422,35405407560,31310138060
423,17587433200,70509681660
424,14914737040,58927998320
425,37187205000,31310138060
426,62132369110,23292049600
427,1.77949E+11,43782720120
428,1.99331E+11,1.106E+11
429,1.57459E+11,1.22182E+11
430,1.57459E+11,1.23964E+11
431,1.4855E+11,1.13273E+11
432,2.43876E+11,57146200890
433,3.63256E+11,31310138060
434,3.95328E+11,55364403450
435,4.14037E+11,67836985500
436,4.0691E+11,1.17727E+11
437,3.98892E+11,2.11272E+11
438,4.01565E+11,2.18399E+11
439,3.9711E+11,2.86107E+11
440,3.85529E+11,3.86779E+11
441,3.88201E+11,3.74306E+11
442,3.84638E+11,3.74306E+11
443,3.84638E+11,3.81433E+11
444,4.03347E+11,3.76979E+11
445,4.10474E+11,3.66288E+11
446,4.05128E+11,3.70743E+11
447,4.05128E+11,3.72524E+11
448,4.04237E+11,3.83215E+11
449,4.0691E+11,3.7787E+11
450,3.89092E+11,3.27089E+11
451,3.64147E+11,3.00362E+11
452,3.5702E+11,3.04816E+11
453,3.54347E+11,3.23525E+11
454,3.62365E+11,3.27089E+11
455,3.60583E+11,3.13725E+11
456,3.85529E+11,3.10161E+11
457,4.09583E+11,2.83434E+11
458,4.08692E+11,2.9858E+11
459,4.14928E+11,3.11052E+11
460,3.65929E+11,2.83434E+11
461,3.74838E+11,3.06598E+11
462,3.20493E+11,3.93015E+11
463,3.24947E+11,4.05488E+11
464,3.40093E+11,3.93906E+11
465,4.02456E+11,3.95688E+11
466,4.07801E+11,4.07269E+11
467,3.96219E+11,4.02815E+11
468,3.90874E+11,3.99251E+11
469,3.94438E+11,3.91233E+11
470,4.03347E+11,4.01033E+11
471,3.81965E+11,3.95688E+11
472,3.85529E+11,3.89451E+11
473,3.98892E+11,4.01033E+11
474,4.04237E+11,4.01924E+11
475,3.81965E+11,3.88561E+11
476,4.07801E+11,3.95688E+11
477,4.09583E+11,3.86779E+11
478,4.00674E+11,3.82324E+11
479,3.93547E+11,4.00142E+11
480,3.85529E+11,4.09051E+11
481,3.78401E+11,3.83215E+11
482,3.84638E+11,3.81433E+11
483,2.65257E+11,3.84997E+11
484,2.63475E+11,3.83215E+11
485,1.96658E+11,3.80542E+11
486,2.03785E+11,3.8767E+11
487,1.02223E+11,3.90342E+11
488,46987090900,3.85888E+11
489,62132369110,3.91233E+11
490,68368660130,3.85888E+11
491,66586862700,3.75197E+11
492,67477761410,3.81433E+11
493,75495849880,3.79652E+11
494,68368660130,3.99251E+11
495,79950343470,3.90342E+11
496,81732140910,4.00142E+11
497,76386748600,3.80542E+11
498,68368660130,3.94797E+11
499,78168546030,3.89451E+11
500,57677875520,3.85888E+11
501,76386748600,3.83215E+11
502,75495849880,3.82324E+11
