t,x,y
5.160000000E1,1.518248175E2,1.948029197E2
5.200000000E1,1.013722628E2,1.938686131E2
5.240000000E1,9.670072993E1,1.962043796E2
5.280000000E1,2.709489051E1,1.929343066E2
5.320000000E1,2.335766423E1,1.649051095E2
5.360000000E1,2.008759124E1,1.588321168E2
5.400000000E1,9.810218978E0,2.018102190E2
5.440000000E1,1.214598540E1,2.078832117E2
5.480000000E1,1.214598540E1,2.078832117E2
5.520000000E1,1.214598540E1,2.078832117E2
5.560000000E1,7.147445255E1,2.158248175E2
5.600000000E1,5.886131387E1,2.190948905E2
5.640000000E1,2.709489051E1,2.172262774E2
5.680000000E1,5.605839416E0,2.116204380E2
5.720000000E1,5.605839416E0,2.106861314E2
5.760000000E1,3.737226277E0,2.060145985E2
5.800000000E1,4.204379562E0,2.027445255E2
5.840000000E1,5.138686131E0,1.976058394E2
5.880000000E1,1.074452555E1,2.032116788E2
5.920000000E1,1.074452555E1,1.756496350E2
5.960000000E1,1.167883212E1,1.667737226E2
6.000000000E1,1.121167883E1,8.595620438E1
6.040000000E1,1.821897810E1,5.232116788E1
6.080000000E1,1.728467153E1,4.578102190E1
6.120000000E1,1.448175182E1,1.308029197E1
6.160000000E1,6.072992701E0,1.915328467E1
6.200000000E1,6.072992701E0,1.915328467E1
6.240000000E1,3.737226277E0,4.110948905E1
6.280000000E1,4.671532847E0,4.110948905E1
6.320000000E1,4.671532847E0,4.110948905E1
6.360000000E1,4.671532847E0,4.110948905E1
6.400000000E1,1.448175182E1,4.671532847E0
6.440000000E1,1.494890511E1,7.474452555E0
6.480000000E1,1.588321168E1,6.540145985E0
6.520000000E1,6.026277372E1,7.941605839E0
6.560000000E1,6.400000000E1,6.540145985E0
6.600000000E1,6.913868613E1,4.017518248E1
6.640000000E1,6.773722628E1,4.578102190E1
6.680000000E1,1.060437956E2,7.240875912E1
6.720000000E1,1.779854015E2,1.167883212E2
6.760000000E1,2.004087591E2,1.172554745E2
6.800000000E1,2.055474453E2,1.303357664E2
6.840000000E1,1.891970803E2,4.017518248E1
6.880000000E1,2.008759124E2,6.072992701E0
6.920000000E1,2.064817518E2,5.605839416E0
6.960000000E1,1.555620438E2,1.588321168E1
7.000000000E1,1.462189781E2,3.924087591E1
7.040000000E1,1.466861314E2,4.251094891E1
7.080000000E1,5.792700730E1,6.119708029E1
7.120000000E1,2.943065693E1,6.493430657E1
7.160000000E1,2.709489051E1,6.493430657E1
7.200000000E1,1.588321168E1,4.578102190E1
7.240000000E1,1.868613139E1,8.875912409E0
7.280000000E1,1.868613139E1,8.875912409E0
7.320000000E1,2.055474453E1,9.343065693E0
7.360000000E1,2.242335766E1,9.343065693E0
7.400000000E1,2.148905109E1,9.343065693E0
7.440000000E1,1.401459854E1,1.027737226E1
7.480000000E1,9.343065693E0,4.297810219E1
7.520000000E1,1.074452555E1,5.699270073E1
7.560000000E1,1.027737226E1,1.476204380E2
7.600000000E1,3.737226277E0,1.564963504E2
7.640000000E1,4.671532847E0,1.499562044E2
7.680000000E1,1.121167883E1,1.733138686E2
